# F150W
# photon
# Angstroems	Transmission JWST/NIRCam/F150W
12480	1.07E-05
12490	1.14E-05
12500	1.21E-05
12510	1.33E-05
12520	1.47E-05
12530	1.57E-05
12540	1.71E-05
12550	1.85E-05
12560	2.07E-05
12570	2.23E-05
12580	2.39E-05
12590	2.57E-05
12600	2.81E-05
12610	3.08E-05
12620	3.39E-05
12630	3.70E-05
12640	4.06E-05
12650	4.48E-05
12660	4.95E-05
12670	5.51E-05
12680	6.13E-05
12690	6.77E-05
12700	7.53E-05
12710	8.36E-05
12720	9.43E-05
12730	1.06E-04
12740	1.19E-04
12750	1.35E-04
12760	1.53E-04
12770	1.74E-04
12780	1.98E-04
12790	2.26E-04
12800	2.59E-04
12810	2.96E-04
12820	3.39E-04
12830	3.89E-04
12840	4.46E-04
12850	5.12E-04
12860	5.89E-04
12870	6.77E-04
12880	7.81E-04
12890	9.01E-04
12900	1.04E-03
12910	1.20E-03
12920	1.40E-03
12930	1.63E-03
12940	1.90E-03
12950	2.23E-03
12960	2.62E-03
12970	3.10E-03
12980	3.67E-03
12990	4.38E-03
13000	5.25E-03
13010	6.33E-03
13020	7.65E-03
13030	9.28E-03
13040	1.13E-02
13050	1.37E-02
13060	1.66E-02
13070	1.97E-02
13080	2.26E-02
13090	2.49E-02
13100	2.70E-02
13110	2.95E-02
13120	3.26E-02
13130	3.62E-02
13140	4.04E-02
13150	4.51E-02
13160	5.09E-02
13170	5.72E-02
13180	6.52E-02
13190	7.42E-02
13200	8.60E-02
13210	1.00E-01
13220	1.19E-01
13230	1.39E-01
13240	1.64E-01
13250	1.93E-01
13260	2.26E-01
13270	2.62E-01
13280	3.04E-01
13290	3.51E-01
13300	4.04E-01
13310	4.62E-01
13320	5.23E-01
13330	5.84E-01
13340	6.43E-01
13350	7.00E-01
13360	7.50E-01
13370	7.95E-01
13380	8.30E-01
13390	8.60E-01
13400	8.82E-01
13410	8.98E-01
13420	9.09E-01
13430	9.17E-01
13440	9.22E-01
13450	9.25E-01
13460	9.28E-01
13470	9.30E-01
13480	9.34E-01
13490	9.35E-01
13500	9.38E-01
13510	9.40E-01
13520	9.43E-01
13530	9.45E-01
13540	9.45E-01
13550	9.45E-01
13560	9.45E-01
13570	9.44E-01
13580	9.44E-01
13590	9.43E-01
13600	9.43E-01
13610	9.42E-01
13620	9.40E-01
13630	9.41E-01
13640	9.40E-01
13650	9.40E-01
13660	9.38E-01
13670	9.36E-01
13680	9.37E-01
13690	9.37E-01
13700	9.38E-01
13710	9.38E-01
13720	9.38E-01
13730	9.37E-01
13740	9.35E-01
13750	9.35E-01
13760	9.34E-01
13770	9.34E-01
13780	9.34E-01
13790	9.33E-01
13800	9.31E-01
13810	9.30E-01
13820	9.30E-01
13830	9.30E-01
13840	9.30E-01
13850	9.29E-01
13860	9.29E-01
13870	9.29E-01
13880	9.29E-01
13890	9.28E-01
13900	9.28E-01
13910	9.28E-01
13920	9.28E-01
13930	9.29E-01
13940	9.30E-01
13950	9.31E-01
13960	9.31E-01
13970	9.32E-01
13980	9.32E-01
13990	9.33E-01
14000	9.34E-01
14010	9.36E-01
14020	9.38E-01
14030	9.39E-01
14040	9.40E-01
14050	9.41E-01
14060	9.42E-01
14070	9.43E-01
14080	9.45E-01
14090	9.46E-01
14100	9.47E-01
14110	9.46E-01
