# F560W
# photon
# Angstroems	Transmission JWST/MIRI/F560W
  47410.00175476074    0.0    
  47470.00217437744    0.0    
  47529.99782562256    1.0E-4 
  47579.99897003174    1.0E-4 
  47639.99938964844    1.0E-4 
  47699.99980926514    1.0E-4 
  47760.000228881836   1.0E-4 
  47820.000648498535   1.0E-4 
  47870.001792907715   1.0E-4 
  47930.002212524414   1.0E-4 
  47989.99786376953    1.0E-4 
  48049.99828338623    2.0E-4 
  48109.99870300293    2.0E-4 
  48159.99984741211    3.0E-4 
  48220.00026702881    3.0E-4 
  48280.00068664551    4.0E-4 
  48340.00110626221    5.0E-4 
  48400.001525878906   6.0E-4 
  48449.997901916504   9.0E-4 
  48509.9983215332     0.0011 
  48569.9987411499     0.0014 
  48629.9991607666     0.0017 
  48689.9995803833     0.0022 
  48740.00072479248    0.0026 
  48800.00114440918    0.0031 
  48860.00156402588    0.0035 
  48920.00198364258    0.004  
  48979.997634887695   0.0044 
  49029.998779296875   0.0047 
  49089.999198913574   0.005  
  49149.99961853027    0.0053 
  49210.00003814697    0.0056 
  49270.00045776367    0.006  
  49320.00160217285    0.0064 
  49380.00202178955    0.0068 
  49439.99767303467    0.0075 
  49499.99809265137    0.0083 
  49559.99851226807    0.0092 
  49609.999656677246   0.0103 
  49670.000076293945   0.0121 
  49730.000495910645   0.0139 
  49790.000915527344   0.0158 
  49850.00133514404    0.0194 
  49899.99771118164    0.0234 
  49959.99813079834    0.0274 
  50019.99855041504    0.0332 
  50079.99897003174    0.0421 
  50139.99938964844    0.0511 
  50190.00053405762    0.0601 
  50250.00095367432    0.0764 
  50310.001373291016   0.0935 
  50370.001792907715   0.1107 
  50430.002212524414   0.1302 
  50479.99858856201    0.1525 
  50539.99900817871    0.1749 
  50599.99942779541    0.1974 
  50659.99984741211    0.2123 
  50720.00026702881    0.2273 
  50770.00141143799    0.2424 
  50830.00183105469    0.2507 
  50890.00225067139    0.2536 
  50949.997901916504   0.2565 
  51009.9983215332     0.2589 
  51059.99946594238    0.2568 
  51119.99988555908    0.2547 
  51180.00030517578    0.2525 
  51240.00072479248    0.2505 
  51300.00114440918    0.2486 
  51350.00228881836    0.2467 
  51409.99794006348    0.2452 
  51469.998359680176   0.2453 
  51529.998779296875   0.2454 
  51589.999198913574   0.2455 
  51640.000343322754   0.2476 
  51700.00076293945    0.2503 
  51760.00118255615    0.253  
  51820.00160217285    0.2562 
  51880.00202178955    0.2605 
  51929.99839782715    0.2648 
  51989.99881744385    0.2692 
  52049.99923706055    0.2726 
  52109.999656677246   0.276  
  52170.000076293945   0.2794 
  52220.001220703125   0.2815 
  52280.001640319824   0.2817 
  52340.00205993652    0.282  
  52399.99771118164    0.2823 
  52459.99813079834    0.2796 
  52509.99927520752    0.2767 
  52569.99969482422    0.2738 
  52630.00011444092    0.2704 
  52690.00053405762    0.2664 
  52750.00095367432    0.2625 
  52800.002098083496   0.2585 
  52859.99774932861    0.2551 
  52919.99816894531    0.2518 
  52979.99858856201    0.2484 
  53039.99900817871    0.2459 
  53090.00015258789    0.2439 
  53150.00057220459    0.242  
  53210.00099182129    0.2404 
  53270.00141143799    0.2407 
  53330.00183105469    0.241  
  53379.998207092285   0.2413 
  53439.998626708984   0.2431 
  53499.99904632568    0.2454 
  53559.99946594238    0.2478 
  53619.99988555908    0.2503 
  53670.00102996826    0.2534 
  53730.00144958496    0.2564 
  53790.00186920166    0.2595 
  53850.00228881836    0.2634 
  53909.99794006348    0.2674 
  53959.999084472656   0.2714 
  54019.999504089355   0.2756 
  54079.999923706055   0.28   
  54140.000343322754   0.2844 
  54200.00076293945    0.2889 
  54250.00190734863    0.2901 
  54310.00232696533    0.2911 
  54369.99797821045    0.292  
  54429.99839782715    0.2923 
  54489.99881744385    0.292  
  54539.99996185303    0.2916 
  54600.00038146973    0.2911 
  54660.000801086426   0.2886 
  54720.001220703125   0.286  
  54780.001640319824   0.2834 
  54829.99801635742    0.2803 
  54889.99843597412    0.2768 
  54949.99885559082    0.2732 
  55009.99927520752    0.27   
  55069.99969482422    0.2683 
  55120.0008392334     0.2667 
  55180.0012588501     0.2651 
  55240.0016784668     0.2646 
  55300.002098083496   0.2646 
  55359.99774932861    0.2646 
  55409.99889373779    0.2653 
  55469.99931335449    0.2682 
  55529.99973297119    0.2711 
  55590.00015258789    0.274  
  55650.00057220459    0.2787 
  55700.00171661377    0.2838 
  55760.00213623047    0.2889 
  55819.997787475586   0.2936 
  55879.998207092285   0.2976 
  55939.998626708984   0.3016 
  55989.999771118164   0.3056 
  56050.00019073486    0.3096 
  56110.00061035156    0.3135 
  56170.00102996826    0.3175 
  56230.00144958496    0.3207 
  56279.99782562256    0.323  
  56339.99824523926    0.3254 
  56399.99866485596    0.3277 
  56459.999084472656   0.3258 
  56519.999504089355   0.324  
  56570.000648498535   0.3221 
  56630.001068115234   0.3203 
  56690.00148773193    0.3185 
  56750.00190734863    0.3167 
  56810.00232696533    0.315  
  56859.99870300293    0.3133 
  56919.99912261963    0.3117 
  56979.99954223633    0.3101 
  57039.99996185303    0.3101 
  57100.00038146973    0.311  
  57150.001525878906   0.3118 
  57210.001945495605   0.3127 
  57270.002365112305   0.3133 
  57329.99801635742    0.314  
  57389.99843597412    0.3147 
  57439.9995803833     0.3166 
  57500.0              0.3189 
  57560.0004196167     0.3212 
  57620.0008392334     0.3233 
  57680.0012588501     0.325  
  57729.997634887695   0.3267 
  57789.998054504395   0.3283 
  57849.998474121094   0.3291 
  57909.99889373779    0.3298 
  57969.99931335449    0.3305 
  58020.00045776367    0.3321 
  58080.00087738037    0.335  
  58140.00129699707    0.3378 
  58200.00171661377    0.3407 
  58260.00213623047    0.3399 
  58309.99851226807    0.3389 
  58369.998931884766   0.3379 
  58429.999351501465   0.3375 
  58489.999771118164   0.3378 
  58550.00019073486    0.3381 
  58600.00133514404    0.3385 
  58660.00175476074    0.3395 
  58720.00217437744    0.3405 
  58779.99782562256    0.3416 
  58839.99824523926    0.3401 
  58889.99938964844    0.3372 
  58949.99980926514    0.3343 
  59010.000228881836   0.3314 
  59070.000648498535   0.3285 
  59130.001068115234   0.3255 
  59180.002212524414   0.3225 
  59239.99786376953    0.3218 
  59299.99828338623    0.3218 
  59359.99870300293    0.3219 
  59419.99912261963    0.3211 
  59470.00026702881    0.3181 
  59530.00068664551    0.315  
  59590.00110626221    0.3119 
  59650.001525878906   0.3121 
  59710.001945495605   0.3131 
  59759.9983215332     0.314  
  59819.9987411499     0.315  
  59879.9991607666     0.3161 
  59939.9995803833     0.3171 
  60000.0              0.3182 
  60050.00114440918    0.3202 
  60110.00156402588    0.3222 
  60170.00198364258    0.3243 
  60229.997634887695   0.3266 
  60289.998054504395   0.3291 
  60339.999198913574   0.3317 
  60399.99961853027    0.3341 
  60460.00003814697    0.3349 
  60520.00045776367    0.3356 
  60580.00087738037    0.3363 
  60630.00202178955    0.3355 
  60689.99767303467    0.3338 
  60749.99809265137    0.3321 
  60809.99851226807    0.33   
  60869.998931884766   0.3257 
  60920.000076293945   0.3215 
  60980.000495910645   0.3173 
  61040.000915527344   0.312  
  61100.00133514404    0.3062 
  61160.00175476074    0.3004 
  61209.99813079834    0.293  
  61269.99855041504    0.2806 
  61329.99897003174    0.2682 
  61389.99938964844    0.2558 
  61449.99980926514    0.241  
  61500.00095367432    0.2257 
  61560.001373291016   0.2103 
  61620.001792907715   0.1946 
  61680.002212524414   0.1784 
  61739.99786376953    0.1622 
  61789.99900817871    0.1459 
  61849.99942779541    0.1321 
  61909.99984741211    0.1186 
  61970.00026702881    0.105  
  62030.00068664551    0.0936 
  62080.00183105469    0.0848 
  62140.00225067139    0.0761 
  62199.997901916504   0.0673 
  62259.9983215332     0.0618 
  62319.9987411499     0.0563 
  62369.99988555908    0.0509 
  62430.00030517578    0.0466 
  62490.00072479248    0.0433 
  62550.00114440918    0.0401 
  62610.00156402588    0.0369 
  62659.99794006348    0.0349 
  62719.998359680176   0.0329 
  62779.998779296875   0.0309 
  62839.999198913574   0.0293 
  62899.99961853027    0.028  
  62950.00076293945    0.0266 
  63010.00118255615    0.0253 
  63070.00160217285    0.0242 
  63130.00202178955    0.023  
  63189.99767303467    0.0219 
  63239.99881744385    0.0207 
  63299.99923706055    0.0195 
  63359.999656677246   0.0183 
  63420.000076293945   0.017  
  63480.000495910645   0.0156 
  63530.001640319824   0.0142 
  63590.00205993652    0.0128 
  63649.99771118164    0.0115 
  63709.99813079834    0.0103 
  63769.99855041504    0.0091 
  63819.99969482422    0.0081 
  63880.00011444092    0.0072 
  63940.00053405762    0.0064 
  64000.00095367432    0.0055 
  64060.001373291016   0.005  
  64109.99774932861    0.0045 
  64169.99816894531    0.0039 
  64229.99858856201    0.0035 
  64289.99900817871    0.0031 
  64349.99942779541    0.0027 
  64400.00057220459    0.0024 
  64460.00099182129    0.0022 
  64520.00141143799    0.002  
  64580.00183105469    0.0018 
  64640.00225067139    0.0016 
  64689.998626708984   0.0015 
  64749.99904632568    0.0014 
  64809.99946594238    0.0013 
  64869.99988555908    0.0012 
  64930.00030517578    0.0012 
  64980.00144958496    0.0011 
  65040.00186920166    0.0011 
  65100.00228881836    0.001  
  65159.99794006348    0.001  
  65219.998359680176   9.0E-4 
  65269.999504089355   9.0E-4 
  65329.999923706055   9.0E-4 
  65390.000343322754   8.0E-4 
  65450.00076293945    8.0E-4 
  65510.00118255615    8.0E-4 
  65560.00232696533    8.0E-4 
  65619.99797821045    8.0E-4 
  65679.99839782715    8.0E-4 
  65739.99881744385    7.0E-4 
  65799.99923706055    7.0E-4 
  65850.00038146973    7.0E-4 
  65910.00080108643    7.0E-4 
  65970.00122070312    7.0E-4 
  66030.00164031982    7.0E-4 
  66090.00205993652    6.0E-4 
  66139.99843597412    6.0E-4 
  66199.99885559082    5.0E-4 
  66259.99927520752    5.0E-4 
  66319.99969482422    5.0E-4 
  66380.00011444092    4.0E-4 
  66430.0012588501     4.0E-4 
  66490.0016784668     3.0E-4 
  66550.0020980835     3.0E-4 
  66609.99774932861    3.0E-4 
  66669.99816894531    2.0E-4 
  66719.99931335449    2.0E-4 
  66779.99973297119    1.0E-4 
  66840.00015258789    1.0E-4 
  66900.00057220459    1.0E-4 
  66960.00099182129    1.0E-4 
  67010.00213623047    0.0    
  67069.99778747559    0.0    
