18000000,QH-beta-486.1
303.8,HeII-30.38
584.3,HeI-58.43
625.6,HeI-62.56
972.5,Ly-gamma
977.0,CIII-97.70
1026,Ly-beta
1216,Ly-alpha
1335,CII-133.5
1394,SiIV-139.4
1397,SiIV-139.7
1486,NIV-148.6
1548,CIV-154.8
1549,CIV-154.9
1551,CIV-155.1
1640,HeII-164.0
1661,OIII-166.1
1666,OIII-166.5
1666.2,OIII-166.62
1750,NIII-175.0
1888,SiIII-188.8
1909,CIII-190.9
2326,CII-232.6
2396,FeII-239.6
2470.2,OII-247.02
2470.3,OII-247.03
2471,OII-247.1
2798,MgII-279.8
2829,HeI-282.9
2836,FeIV-283.6
2945,HeI-294.5
3095,FeIV-309.5
3188,HeI-318.8
3203,HeII-320.3
3671,H-24
3674,H-23
3676,H-22
3679,H-21
3683,H-20
3687,H-19
3692,H-18
3697,H-17
3704,H-16
3712,H-15
3722,H-14
3726,OII-372.6
3727,OII-372.7
3729,OII-372.9
3729,BLND-372.9
3734,H-13
3750,H-12
3771,H-11
3798,H-10
3820,HeI-381.9
3835,H-9
3869,NeIII-386.9
3889,HeI-388.9
3889,H-8
3965,HeI-396.5
3967,NeIII-396.7
3970,H-epsilon
4026,HeI-402.6
4070,SII-407.0
4074,SII-407.4
4076,SII-407.6
4102,H-delta
4340,H-gamma
4363,OIII-436.3
4471,HeI-447.1
4658,FeIII-465.8
4686,HeII-468.6
4861,H-beta
4922,HeI-492.2
4959,OIII-495.9
5007,OIII-500.7
5016,HeI-501.6
5876,HeI-587.6
6300,OI-630.0
6312,SIII-631.2
6548,NII-654.8
6563,H-alpha
6584,NII-658.4
6678,HeI-667.8
6716,SII-671.6
6720,SII-672.0
6731,SII-673.1
7065,HeI-706.5
7136,ArIII-713.6
7319,OII-731.9
7319,OII-731.9
7329,OII-732.9
7331,OII-733.1
7751,ArIII-775.1
8334,Pa-24
8346,Pa-23
8359,Pa-22
8374,Pa-21
8392,Pa-20
8413,Pa-19
8438,Pa-18
8467,Pa-17
8502,Pa-16
8545,Pa-15
8598,Pa-14
8665,Pa-13
8750,Pa-12
8863,Pa-11
9015,Pa-10
9069,SIII-906.9
9229,Pa-9
9531,SIII-953.1
9546,Pa-epsilon
10050,Pa-delta
10830,HeI-1.083
10938,Pa-gamma
12818,Pa-beta
18751,Pa-alpha
21655,Br-gamma
26251,Br-beta
40511,Br-gamma
69833,ArII-6.983
74577,Pf-alpha
89889,ArIII-8.989
105100,SIV-10.51
128100,NeII-12.81
155500,NeIII-15.55
187100,SIII-18.71
334700,SIII-33.47
348000,SiII-34.80
360000,NeIII-36.00
518000,OIII-51.80
573200,NIII-57.32
586830,H2O-58.683
631700,OI-63.17
664200,H2O-66.42
672500,H2O-67.25
883300,OIII-88.33
1080440,H2O-108.04
1192000,OH-119.20
1217700,NII-121.77
1454900,OI-145.49
1576400,CII-157.64
1810330,H3O+-181.03
1808500,H3O+-180.85
1801600,H3O+-180.16
2052400,NII-205.24
3296900,OH+-329.69
3296600,OH+-329.66
3702700,CI-370.27
3715490,CO-371.55
4334380,CO-433.44
5200890,CO-520.09
6500740,CO-650.07
8667270,CO-866.73
13000500,CO-1300.05
20393000,CS-2039.30
20584100,H2CO-2058.41
20590000,HC3N-2059.00
26000500,CO-2600.05
26407400,CN-2640.74
32167600,N2H+-3216.76
32167500,N2H+-3216.75
32167000,N2H+-3216.70
32166900,N2H+-3216.69
32166800,N2H+-3216.68
32166000,N2H+-3216.60
33057500,HNC-3305.75
33604300,HCO+-3360.43
33815800,HCN-3381.58
33815200,HCN-3381.52
33814400,HCN-3381.44
34510300,SiO-3451.03
41147800,H2CO-4114.78
