Dust emission spectrum from A.P. Jones, M. Kohler, N. Ysard, M. Bocchio, and L. Verstraete (2017), A&A, 602A, 46J 
inside the DustPedia framework.

lambda    nu*dP/dnu     j_nu    j_nu(carb.) j_nu(sil)
 (um)   (erg s-1 H-1) (Jy cm2 sr-1 H-1)
0.9927057738263894 6.468864294853228e-25 1.704582484109505e-17 1.7045824622941942e-17 2.1815311382017727e-25
1.0001793341362166 6.5768035762797465e-25 1.7460721334641623e-17 1.7460721071973344e-17 2.6266827604487053e-25
1.0077091589558085 6.684810849721755e-25 1.788108065223521e-17 1.7881080336382428e-17 3.158527808379969e-25
1.0114953028030835 6.73882971103388e-25 1.8093300049220288e-17 1.8093299703034396e-17 3.461858875445701e-25
1.0152956718711033 6.792853297826296e-25 1.830687445765696e-17 1.8306874078349634e-17 3.7930732663459437e-25
1.0229392996569957 6.900845810086604e-25 1.8737930364945917e-17 1.873792991002922e-17 4.549166950043034e-25
1.0267826658714554 6.954687153499907e-25 1.8955077307569085e-17 1.8955076809598996e-17 4.97970093563224e-25
1.0306404723013447 7.008514508933331e-25 1.917355319045986e-17 1.917355264554116e-17 5.449186944057248e-25
1.03451277320114 7.062323972207128e-25 1.9393354069646115e-17 1.9393353473548764e-17 5.960973527524607e-25
1.0383996230291617 7.116111674499409e-25 1.961447596911643e-17 1.9614475317248343e-17 6.5186808485845725e-25
1.0403485208654093 7.1429961662136665e-25 1.9725531051065183e-17 1.9725530369468644e-17 6.815965397627343e-25
1.0423010764483396 7.169873783461941e-25 1.9836914884364513e-17 1.983691417174239e-17 7.126221289895757e-25
1.0462171883269815 7.223606504322168e-25 2.006066678597484e-17 2.0060666007192687e-17 7.787821510674565e-25
1.0471985131304309 7.237034651612281e-25 2.0116809441220715e-17 2.011680864500116e-17 7.9621955351824015e-25
1.048180758391296 7.250460668890131e-25 2.0173033841553935e-17 2.0173033027523277e-17 8.140306577975008e-25
1.0501480137395462 7.277306080971175e-25 2.0285727623248748e-17 2.028572677244414e-17 8.508046042305956e-25
1.0521189612883777 7.304142277269052e-25 2.0398747621997955e-17 2.0398746732831216e-17 8.891667402015416e-25
1.0531058218030118 7.31753727274561e-25 2.0455325275997274e-17 2.0455324367032327e-17 9.089649570455308e-25
1.0540936079674168 7.330865895063258e-25 2.0511805407548305e-17 2.051180447835902e-17 9.291892840700708e-25
1.058054026499678 7.384151839908033e-25 2.0738526493150174e-17 2.0738525478670628e-17 1.0144795423976164e-24
1.0590464539527713 7.397465908127617e-25 2.0795406576790016e-17 2.079540553984483e-17 1.036945187333136e-24
1.06003981227728 7.41077689698976e-25 2.08523664542089e-17 2.0852365394322297e-17 1.0598866039638105e-24
1.0620293250338977 7.437389413690725e-25 2.0966525328038817e-17 2.0966524220803567e-17 1.107235252971211e-24
1.0660195594769086 7.490575052065805e-25 2.1195797714967296e-17 2.1195796506891592e-17 1.2080757003964115e-24
1.070024785945596 7.543705235390539e-25 2.1426339456366966e-17 2.1426338138698465e-17 1.3176685000802156e-24
1.0740450607676866 7.5967764897139785e-25 2.1658146358220676e-17 2.1658144921487563e-17 1.4367331143796718e-24
1.07808044048254 7.649785387750757e-25 2.1891214233972498e-17 2.1891212667927887e-17 1.566044604300735e-24
1.0861967418109137 7.755513918456963e-25 2.2360860404061927e-17 2.2360858545250977e-17 1.8588109516372063e-24
1.0902777775684922 7.808025167503508e-25 2.2596844540062323e-17 2.259684251593045e-17 2.0241318687186577e-24
1.0943741465085532 7.860457297571318e-25 2.283405645579797e-17 2.283405425235786e-17 2.203440115081023e-24
1.1026131145906286 7.9650716214853905e-25 2.3312146951494636e-17 2.3312144342917612e-17 2.60857702536605e-24
1.1109141095355224 8.069332265256521e-25 2.3795098901467556e-17 2.3795095817254467e-17 3.0842130976854738e-24
1.1192775983109025 8.173124766350899e-25 2.4282610483652777e-17 2.428260684177421e-17 3.64187856358015e-24
1.1277040513999907 8.276009438047076e-25 2.4773396350695628e-17 2.4773392055834427e-17 4.294861213745844e-24
1.1361939428280308 8.378458656525044e-25 2.5268882369204005e-17 2.5268877310751564e-17 5.058452438611276e-24
1.1447477501889525 8.480451635588858e-25 2.5769038443495736e-17 2.576903249326912e-17 5.95022661729314e-24
1.1533659546722406 8.582016381962092e-25 2.627398211319926e-17 2.6273975122834658e-17 6.990364597720102e-24
1.1707974979042381 8.784179244729955e-25 2.7299356365480815e-17 2.729934675379303e-17 9.611687785144917e-24
