Dust emission spectrum from A.P. Jones, M. Kohler, N. Ysard, M. Bocchio, and L. Verstraete (2017), A&A, 602A, 46J 
inside the DustPedia framework.

lambda    nu*dP/dnu     j_nu    j_nu(carb.) j_nu(sil)
 (um)   (erg s-1 H-1) (Jy cm2 sr-1 H-1)
0.9927057738263894 3.622192411388169e-25 9.544682740429529e-18 9.544682740429529e-18 9.034194973398811e-40
1.0001793341362166 3.681705668473447e-25 9.774541077255205e-18 9.774541077255205e-18 1.2303844262799012e-39
1.0077091589558085 3.7411233229673855e-25 1.0007063680900173e-17 1.0007063680900173e-17 1.6735946024807247e-39
1.0114953028030835 3.7707889439276915e-25 1.0124312189259772e-17 1.0124312189259772e-17 1.9509789859263428e-39
1.0152956718711033 3.8004218620216823e-25 1.0242212346383127e-17 1.0242212346383127e-17 2.2736325255939658e-39
1.0229392996569957 3.8595487245886475e-25 1.047986829900642e-17 1.047986829900642e-17 3.084974728780951e-39
1.0267826658714554 3.8889705748476856e-25 1.059943262235775e-17 1.059943262235775e-17 3.59181660492529e-39
1.0306404723013447 3.9183466564070957e-25 1.0719622245130553e-17 1.0719622245130553e-17 4.1806336096958996e-39
1.03451277320114 3.947674121246387e-25 1.084043188703846e-17 1.084043188703846e-17 4.864467557374384e-39
1.0383996230291617 3.976950137603744e-25 1.0961856203569253e-17 1.0961856203569253e-17 5.658398604786596e-39
1.0403485208654093 3.991567972255851e-25 1.1022797177407149e-17 1.1022797177407149e-17 6.101996395252578e-39
1.0423010764483396 4.006171890519514e-25 1.1083889787247766e-17 1.1083889787247766e-17 6.579857643285099e-39
1.0462171883269815 4.035336582367657e-25 1.1206527168900408e-17 1.1206527168900408e-17 7.648985525590558e-39
1.0471985131304309 4.042618513383636e-25 1.1237280211056048e-17 1.1237280211056048e-17 7.941991854991736e-39
1.048180758391296 4.049896661000915e-25 1.1268070558290998e-17 1.1268070558290998e-17 8.246060695672855e-39
1.0501480137395462 4.0644414333750057e-25 1.1329762818920613e-17 1.1329762818920613e-17 8.889045976417852e-39
1.0521189612883777 4.0789705548909455e-25 1.139160325035334e-17 1.139160325035334e-17 9.58141508877173e-39
1.0531058218030118 4.0862179102330794e-25 1.1422547420938745e-17 1.1422547420938745e-17 9.947269936549037e-39
1.0540936079674168 4.0934244350811457e-25 1.1453425374952013e-17 1.1453425374952013e-17 1.0326876528379227e-38
1.058054026499678 4.1222077558173753e-25 1.1577296432646557e-17 1.1577296432646557e-17 1.1993435182754794e-38
1.0590464539527713 4.1293926799731392e-25 1.1608353558062864e-17 1.1608353558062864e-17 1.244989735205654e-38
1.06003981227728 4.136573157448008e-25 1.1639446247368119e-17 1.1639446247368119e-17 1.292347601588824e-38
1.0620293250338977 4.150920604453438e-25 1.1701737954953109e-17 1.1701737954953109e-17 1.3924532392339158e-38
1.0660195594769086 4.179560295898893e-25 1.1826744135612127e-17 1.1826744135612127e-17 1.6161417474451456e-38
1.070024785945596 4.2081241658474075e-25 1.1952309115816055e-17 1.1952309115816055e-17 1.8751646913466135e-38
1.0740450607676866 4.236609571215276e-25 1.2078426985479688e-17 1.2078426985479688e-17 2.175002790234874e-38
1.07808044048254 4.265013890567547e-25 1.2205091784507554e-17 1.2205091784507554e-17 2.521969961030186e-38
1.0861967418109137 4.321518359359898e-25 1.2459892378926128e-17 1.2459892378926128e-17 3.3874679243682406e-38
1.0902777775684922 4.349498465137744e-25 1.258768235699506e-17 1.258768235699506e-17 3.923981041488941e-38
1.0943741465085532 4.377385228198009e-25 1.2715985552180601e-17 1.2715985552180601e-17 4.543965112811297e-38
1.1026131145906286 4.432868780925889e-25 1.2974106618060213e-17 1.2974106618060213e-17 6.087187671765767e-38
1.1109141095355224 4.487949372684686e-25 1.323420522012877e-17 1.323420522012877e-17 8.143533359267223e-38
1.1192775983109025 4.5425562440619e-25 1.3496077330028135e-17 1.3496077330028135e-17 1.0879647445862584e-37
1.1277040513999907 4.596433959635004e-25 1.3758959693586996e-17 1.3758959693586996e-17 1.4514762621066663e-37
1.1361939428280308 4.649844930623065e-25 1.402362766276217e-17 1.402362766276217e-17 1.9337309562342757e-37
1.1447477501889525 4.702771307127046e-25 1.4290028386667493e-17 1.4290028386667493e-17 2.572558062474477e-37
1.1533659546722406 4.755224772798614e-25 1.4558197638418897e-17 1.4558197638418897e-17 3.417513996627203e-37
1.1707974979042381 4.858884471091822e-25 1.510037705510348e-17 1.510037705510348e-17 6.004882319600316e-37
1.1884924949847024 4.960428533287334e-25 1.5648945341156412e-17 1.5648945341156412e-17 1.0488418137933247e-36
1.2064549276569216 5.060659250282292e-25 1.6206440181552352e-17 1.6206440181552352e-17 1.8209301405537983e-36
1.2246888378427687 5.15847234751801e-25 1.6769352713547888e-17 1.6769352713547888e-17 3.141806878048794e-36
1.2431983285522175 5.253638332912452e-25 1.7336843256064112e-17 1.7336843256064112e-17 5.386706540135039e-36
1.2619875648066055 5.346122209781767e-25 1.7908672351543166e-17 1.7908672351543166e-17 9.176714372947613e-36
1.3004222497298317 5.521496274010379e-25 1.905946070690191e-17 1.905946070690191e-17 2.611774757872402e-35
